,RSS,adjKey,adjVal,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
89,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
90,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
91,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
92,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
93,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
94,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
95,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
96,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
97,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
98,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
99,2.27926,kTSC2Phos,5.062,0.678873,4.54863,0.08592910000000001,23.8657,68.407,4.18527,5.13077,94.3181,100.0,0.01,93.8676,70.7031,3.00762,4.25269,0.0119871,100.0,285.95642960000004
100,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
101,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
102,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
103,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
