,RSS,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
36,2.23322,7.37236,77.041,1.35682,7.49875,65.321,1.19438,2.55666,99.9268,100.0,0.01,44.4731,51.0403,0.677573,16.108,2.30845,31.1278,18.8418
37,2.23322,1.05129,10.986,0.193482,5.591469999999998,27.9218,1.11642,6.70193,100.0,100.0,0.01,58.3018,81.4228,2.38561,6.36724,0.0100001,13.4368,8.13315
38,2.23322,7.21732,75.4213,1.32828,8.67595,21.5709,1.45908,1.61641,46.2277,100.0,0.01,90.5516,38.5364,1.89601,3.86831,0.01,1.816,1.09922
39,2.23322,6.26495,65.4693,1.15301,10.7297,55.7973,2.15866,1.39391,20.3385,100.0,0.01,11.0167,16.2701,0.461407,6.57195,0.01,9.88447,5.983
40,2.23322,8.33555,87.1067,1.53409,28.0117,100.0,5.20308,5.29833,100.0,100.0,0.01,100.0,84.39,3.20738,4.95209,0.01,25.0915,15.1879
41,2.23322,6.9844100000000005,72.9872,1.28542,20.545,100.0,4.0820300000000005,4.00891,60.7022,100.0,0.01,43.7125,58.9028,1.76151,6.24201,0.0100021,52.6935,31.8953
42,2.23322,1.67268,17.4796,0.307844,2.6219900000000003,38.6436,0.586275,6.20437,68.4695,100.0,0.01,14.0464,70.5521,0.7884720000000001,16.6105,0.2385,36.1883,21.9047
43,2.23322,7.608739999999999,79.5122,1.40033,11.9327,57.9439,2.36984,5.2062800000000005,78.943,100.0,0.01,15.8395,21.2719,0.637366,6.23039,0.01,61.5152,37.2347
44,2.23322,1.6869599999999998,17.6287,0.310471,4.47086,32.287,0.948668,1.79099,22.5421,100.0,0.01,18.5433,41.9811,0.90639,8.57244,0.01,50.4973,30.5664
45,2.23322,4.9089,51.298,0.903443,4.89784,74.0055,0.789519,1.73215,62.7506,100.0,0.01,41.1593,87.4133,0.6773680000000001,27.8606,4.35106,49.2241,29.7953
46,2.23322,9.5496,99.7931,1.75753,10.8638,41.4635,1.88787,1.26762,31.148000000000003,100.0,0.01,71.4812,52.7008,1.74802,5.91974,0.284583,13.7936,8.34928
47,2.23322,9.56285,99.9318,1.7599599999999995,3.32211,13.197,0.632657,5.77421,100.0,100.0,0.01,100.0,100.0,3.50555,5.3529,0.01,82.9204,50.1917
48,2.23322,6.35866,66.4481,1.17026,11.2029,37.35,2.04589,4.979,100.0,100.0,0.01,95.5922,71.9196,2.87566,4.71666,0.01,20.9525,12.6824
49,2.23322,5.51464,57.6272,1.01492,28.0808,100.0,5.21284,3.17786,60.1155,100.0,0.01,87.6574,73.6619,2.8049,4.94326,0.01,19.8429,12.0111
50,2.23322,9.46896,98.9509,1.74269,4.17269,34.2241,0.788937,3.79059,67.277,100.0,0.01,22.0979,44.8155,0.755246,11.7519,0.8375040000000001,42.7809,25.8952
51,2.23322,8.75545,91.4946,1.61137,28.0852,100.0,5.21341,5.28576,100.0,100.0,0.01,99.7395,83.7991,3.1912,4.9427900000000005,0.01,99.2499,60.0759
52,2.23322,8.364989999999999,87.4143,1.53951,10.6001,98.2264,2.3222400000000003,8.62084,99.9962,100.0,0.01,11.8301,36.2151,0.630073,10.5921,0.0100134,37.6935,22.8158
53,2.23322,9.51169,99.397,1.75055,12.7112,39.7176,2.28255,4.29629,92.0622,100.0,0.01,85.7224,57.5477,2.41246,4.50756,0.01,42.352,25.6356
54,2.23322,5.9961400000000005,62.6596,1.10354,20.9367,66.8907,3.78171,4.7749,100.0,100.0,0.01,90.2229,63.0226,2.59967,4.57781,0.01,58.6252,35.4857
55,2.23322,7.611560000000001,79.5405,1.40084,9.5008,99.5271,1.79341,5.1978800000000005,92.7607,100.0,0.01,35.583,91.8055,1.20926,15.1959,1.28368,31.3606,18.9828
56,2.23322,3.97575,41.5466,0.731705,6.17785,79.6066,1.32033,3.5742300000000005,44.1498,100.0,0.01,12.171,49.7688,0.606751,15.5393,0.517824,62.058,37.5636
57,2.23322,6.3446099999999985,66.3011,1.16767,6.42755,38.7426,1.32672,4.15607,56.3598,100.0,0.01,44.4441,79.9505,2.00924,7.391589999999999,0.01,5.11178,3.0942
58,2.23322,8.49817,88.806,1.56402,28.3277,100.0,5.24744,5.24656,100.0,100.0,0.01,100.0,82.8422,3.17504,4.91239,0.01,54.7158,33.119
59,2.23322,9.55209,99.8196,1.7579900000000002,1.57016,27.8297,0.244626,1.88183,85.8623,100.0,0.01,27.783,56.7398,0.361807,34.3747,5.84729,52.3471,31.6851
60,2.23322,9.56939,100.0,1.76117,26.32,100.0,4.96161,2.16871,38.8751,100.0,0.01,100.0,93.2776,3.38281,5.18067,0.01,54.5032,32.9902
61,2.23322,2.96111,30.9437,0.5449689999999999,8.70282,64.3841,1.8529,8.01607,100.0,100.0,0.01,21.285,49.652,1.05015,8.746889999999999,0.010013,37.6944,22.8164
62,2.23322,8.188189999999999,85.5666,1.50697,45.519,100.0,7.35778,1.3158299999999998,46.8568,100.0,0.01,73.85,23.1401,1.23678,3.57661,0.01,20.98,12.6992
63,2.23322,0.22022600000000006,2.30136,0.040530800000000006,9.02854,37.1187,1.34497,0.68357,46.5774,100.0,0.01,85.7734,28.38,0.7447590000000001,8.07099,0.999845,58.7629,35.5691
64,2.23322,6.45408,67.4451,1.18782,14.0128,99.9997,2.9683200000000003,1.93861,24.5093,100.0,0.01,34.5524,77.0758,1.68101,8.48816,0.01,40.5126,24.5223
65,2.23322,4.07026,42.5341,0.7490979999999999,13.6752,57.4089,2.63615,6.00906,100.0,100.0,0.01,91.2656,99.2449,3.33425,5.57723,0.01,8.98155,5.43652
66,2.23322,4.93972,51.62,0.909114,11.9024,38.0005,2.14948,4.08881,85.6881,100.0,0.01,91.0547,63.5289,2.62185,4.57562,0.01,27.7625,16.8046
67,2.23322,7.15552,74.7741,1.31691,9.53417,99.9939,2.11723,4.5538,51.0948,100.0,0.01,23.9344,84.6714,1.3202,11.7969,0.01,24.6369,14.9128
